Ref,Val,Package,PosX,PosY,Rot,Side
"R36","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.987697,-104.009511,180.000000,top
"R37","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.968730,-103.989511,180.000000,top
"R38","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.987697,-97.745000,0.000000,top
"R39","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.968730,-97.745000,0.000000,top
"SW1","SW_Push","SW_SPST_EVQPE1",113.665000,-124.620000,90.000000,top
"U3","ATmega328PB-M","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",147.659511,-120.354511,0.000000,top
"U4","i6A4W020A-DC-DC-250W","i6A4W-DIP",122.524511,-81.119511,-90.000000,top
"U5","i6A4W020A-DC-DC-250W","i6A4W-DIP",81.824511,-109.089511,90.000000,top
"U6","ACS712xLCTR-30A","SOIC-8_3.9x4.9mm_P1.27mm",119.380000,-114.935000,0.000000,top
"U7","ACS712xLCTR-30A","SOIC-8_3.9x4.9mm_P1.27mm",78.740000,-73.660000,180.000000,top
"U8","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",161.629511,-122.259511,0.000000,top
"U10","LM2596S-5","TO-263-5_TabPin3",168.409511,-88.900000,0.000000,top
"U15","TL431DBZ","SOT-23",93.345000,-125.095000,180.000000,top
"U16","TL431DBZ","SOT-23",101.222141,-74.930000,180.000000,top
"U17","TL431DBZ","SOT-23",88.900000,-125.095000,0.000000,top
"U18","TL431DBZ","SOT-23",105.667141,-74.930000,0.000000,top
"U19","HEF4093B","SOIC-14_3.9x8.7mm_P1.27mm",82.429511,-118.614511,90.000000,top
"Y1","16MHz","Crystal_SMD_Abracon_ABM3C-4Pin_5.0x3.2mm",139.284511,-120.519511,-90.000000,top
